Antimima ventricosa
Aristaloe aristata
Braunsia apiculata
Braunsia maximiliani
Ceraria pygmaea
Corpuscularia lehmannii
Desmidorchis tardellii
Echidnopsis malum
Frerea indica
Geohintonia mexicana
Gerrardanthus macrorhizus
Gonialoe sladeniana
Gonialoe variegata
Huerniopsis decipiens
Jasminocereus thouarsii
Larryleachia cactiformis
Larryleachia marlothii
Obregonia denegrii
Orbea caudata
Orbea lugardii
Rhytidocaulon macrolobum
Stapelianthus pilosus
Tridentea gemmiflora
Tridentea longipes
Tromotriche revoluta
Weberocereus tonduzii
Whitesloanea crassa
